label,context,result,baselineValue,candidateValue
"adult[1]:adult_ai_punctuated_acronym_likedSignals","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_dislikedSignals","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_score","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_matchedLikedSignals","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_matchedDislikedSignals","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_signalMatchTrace","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_matchedField","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_matchedText","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_matchMethod","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_rejectedShortMatches","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_perTitle_trace","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_perTitle_fields","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_perTitle_texts","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_perTitle_methods","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_contentSignature","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[2]:adult_ai_alias_phrase_name","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_candidateTitle","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_likedSignals","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_dislikedSignals","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_score","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_matchedLikedSignals","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_matchedDislikedSignals","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_signalMatchTrace","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_matchedField","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_matchedText","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_matchMethod","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_rejectedShortMatches","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_perTitle_trace","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_perTitle_fields","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_perTitle_texts","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_perTitle_methods","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[2]:adult_ai_alias_phrase_contentSignature","adult[2]:adult_ai_alias_phrase",pass,"",""
"adult[3]:adult_ai_substring_reject_name","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_candidateTitle","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_likedSignals","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_dislikedSignals","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_score","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_matchedLikedSignals","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_matchedDislikedSignals","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_signalMatchTrace","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_matchedField","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_matchedText","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_matchMethod","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_rejectedShortMatches","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_perTitle_trace","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_perTitle_fields","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_perTitle_texts","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_perTitle_methods","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[3]:adult_ai_substring_reject_contentSignature","adult[3]:adult_ai_substring_reject",pass,"",""
"adult[4]:adult_war_valid_standalone_name","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_candidateTitle","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_likedSignals","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_dislikedSignals","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_score","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_matchedLikedSignals","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_matchedDislikedSignals","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_signalMatchTrace","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_matchedField","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_matchedText","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_matchMethod","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_rejectedShortMatches","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_perTitle_trace","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_perTitle_fields","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_perTitle_texts","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_perTitle_methods","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[4]:adult_war_valid_standalone_contentSignature","adult[4]:adult_war_valid_standalone",pass,"",""
"adult[5]:adult_war_invalid_embedded_name","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_candidateTitle","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_likedSignals","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_dislikedSignals","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_score","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_matchedLikedSignals","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_matchedDislikedSignals","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_signalMatchTrace","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_matchedField","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_matchedText","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_matchMethod","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_rejectedShortMatches","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_perTitle_trace","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_perTitle_fields","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_perTitle_texts","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_perTitle_methods","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[5]:adult_war_invalid_embedded_contentSignature","adult[5]:adult_war_invalid_embedded",pass,"",""
"adult[6]:adult_science_fiction_multiword_name","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_candidateTitle","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_likedSignals","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_dislikedSignals","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_score","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_matchedLikedSignals","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_matchedDislikedSignals","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_signalMatchTrace","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_matchedField","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_matchedText","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_matchMethod","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_rejectedShortMatches","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_perTitle_trace","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_perTitle_fields","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_perTitle_texts","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_perTitle_methods","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[6]:adult_science_fiction_multiword_contentSignature","adult[6]:adult_science_fiction_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_name","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_candidateTitle","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_likedSignals","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_dislikedSignals","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_score","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_matchedLikedSignals","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_matchedDislikedSignals","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_signalMatchTrace","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_matchedField","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_matchedText","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_matchMethod","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_rejectedShortMatches","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_perTitle_trace","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_perTitle_fields","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_perTitle_texts","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_perTitle_methods","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[7]:adult_psychological_thriller_multiword_contentSignature","adult[7]:adult_psychological_thriller_multiword",pass,"",""
"adult[8]:adult_disliked_art_embedded_name","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_candidateTitle","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_likedSignals","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_dislikedSignals","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_score","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_matchedLikedSignals","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_matchedDislikedSignals","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_signalMatchTrace","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_matchedField","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_matchedText","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_matchMethod","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_rejectedShortMatches","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_perTitle_trace","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_perTitle_fields","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_perTitle_texts","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_perTitle_methods","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[8]:adult_disliked_art_embedded_contentSignature","adult[8]:adult_disliked_art_embedded",pass,"",""
"adult[9]:adult_multi_signal_trace_name","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_candidateTitle","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_likedSignals","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_dislikedSignals","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_score","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_matchedLikedSignals","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_matchedDislikedSignals","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_signalMatchTrace","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_matchedField","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_matchedText","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_matchMethod","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_rejectedShortMatches","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_perTitle_trace","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_perTitle_fields","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_perTitle_texts","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_perTitle_methods","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[9]:adult_multi_signal_trace_contentSignature","adult[9]:adult_multi_signal_trace",pass,"",""
"adult[10]:adult_signal_in_category_name","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_candidateTitle","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_likedSignals","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_dislikedSignals","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_score","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_matchedLikedSignals","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_matchedDislikedSignals","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_signalMatchTrace","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_matchedField","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_matchedText","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_matchMethod","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_rejectedShortMatches","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_perTitle_trace","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_perTitle_fields","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_perTitle_texts","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_perTitle_methods","adult[10]:adult_signal_in_category",pass,"",""
"adult[10]:adult_signal_in_category_contentSignature","adult[10]:adult_signal_in_category",pass,"",""
"adult[11]:adult_rpg_alias_name","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_candidateTitle","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_likedSignals","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_dislikedSignals","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_score","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_matchedLikedSignals","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_matchedDislikedSignals","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_signalMatchTrace","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_matchedField","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_matchedText","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_matchMethod","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_rejectedShortMatches","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_perTitle_trace","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_perTitle_fields","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_perTitle_texts","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_perTitle_methods","adult[11]:adult_rpg_alias",pass,"",""
"adult[11]:adult_rpg_alias_contentSignature","adult[11]:adult_rpg_alias",pass,"",""
"teen_fixture_count","teen fixture set length",pass,"",""
"teen[0]:teen_signal_description_only_name","teen[0]:teen_signal_description_only",pass,"",""
"teen[0]:teen_signal_description_only_candidateTitle","teen[0]:teen_signal_description_only",pass,"",""
"teen[0]:teen_signal_description_only_likedSignals","teen[0]:teen_signal_description_only",pass,"",""
"teen[0]:teen_signal_description_only_score","teen[0]:teen_signal_description_only",pass,"",""
"teen[0]:teen_signal_description_only_perTitleSignalFields","teen[0]:teen_signal_description_only",pass,"",""
"teen[0]:teen_signal_description_only_signalFieldsByTitle","teen[0]:teen_signal_description_only",pass,"",""
"teen[0]:teen_signal_description_only_contentSignature","teen[0]:teen_signal_description_only",pass,"",""
"teen[1]:teen_signal_category_only_name","teen[1]:teen_signal_category_only",pass,"",""
"teen[1]:teen_signal_category_only_candidateTitle","teen[1]:teen_signal_category_only",pass,"",""
"teen[1]:teen_signal_category_only_likedSignals","teen[1]:teen_signal_category_only",pass,"",""
"teen[1]:teen_signal_category_only_score","teen[1]:teen_signal_category_only",pass,"",""
"teen[1]:teen_signal_category_only_perTitleSignalFields","teen[1]:teen_signal_category_only",pass,"",""
"teen[1]:teen_signal_category_only_signalFieldsByTitle","teen[1]:teen_signal_category_only",pass,"",""
"teen[1]:teen_signal_category_only_contentSignature","teen[1]:teen_signal_category_only",pass,"",""
"teen[2]:teen_signal_title_name","teen[2]:teen_signal_title",pass,"",""
"teen[2]:teen_signal_title_candidateTitle","teen[2]:teen_signal_title",pass,"",""
"teen[2]:teen_signal_title_likedSignals","teen[2]:teen_signal_title",pass,"",""
"teen[2]:teen_signal_title_score","teen[2]:teen_signal_title",pass,"",""
"teen[2]:teen_signal_title_perTitleSignalFields","teen[2]:teen_signal_title",pass,"",""
"teen[2]:teen_signal_title_signalFieldsByTitle","teen[2]:teen_signal_title",pass,"",""
"teen[2]:teen_signal_title_contentSignature","teen[2]:teen_signal_title",pass,"",""
"teen[3]:teen_signal_multi_field_name","teen[3]:teen_signal_multi_field",pass,"",""
"teen[3]:teen_signal_multi_field_candidateTitle","teen[3]:teen_signal_multi_field",pass,"",""
"teen[3]:teen_signal_multi_field_likedSignals","teen[3]:teen_signal_multi_field",pass,"",""
"teen[3]:teen_signal_multi_field_score","teen[3]:teen_signal_multi_field",pass,"",""
"teen[3]:teen_signal_multi_field_perTitleSignalFields","teen[3]:teen_signal_multi_field",pass,"",""
"teen[3]:teen_signal_multi_field_signalFieldsByTitle","teen[3]:teen_signal_multi_field",pass,"",""
"teen[3]:teen_signal_multi_field_contentSignature","teen[3]:teen_signal_multi_field",pass,"",""
"teen[4]:teen_signal_subtitle_only_name","teen[4]:teen_signal_subtitle_only",pass,"",""
"teen[4]:teen_signal_subtitle_only_candidateTitle","teen[4]:teen_signal_subtitle_only",pass,"",""
"teen[4]:teen_signal_subtitle_only_likedSignals","teen[4]:teen_signal_subtitle_only",pass,"",""
"teen[4]:teen_signal_subtitle_only_score","teen[4]:teen_signal_subtitle_only",pass,"",""
"teen[4]:teen_signal_subtitle_only_perTitleSignalFields","teen[4]:teen_signal_subtitle_only",pass,"",""
"teen[4]:teen_signal_subtitle_only_signalFieldsByTitle","teen[4]:teen_signal_subtitle_only",pass,"",""
"teen[4]:teen_signal_subtitle_only_contentSignature","teen[4]:teen_signal_subtitle_only",pass,"",""
"teen[5]:teen_signal_no_match_name","teen[5]:teen_signal_no_match",pass,"",""
"teen[5]:teen_signal_no_match_candidateTitle","teen[5]:teen_signal_no_match",pass,"",""
"teen[5]:teen_signal_no_match_likedSignals","teen[5]:teen_signal_no_match",pass,"",""
"teen[5]:teen_signal_no_match_score","teen[5]:teen_signal_no_match",pass,"",""
"teen[5]:teen_signal_no_match_perTitleSignalFields","teen[5]:teen_signal_no_match",pass,"",""
"teen[5]:teen_signal_no_match_signalFieldsByTitle","teen[5]:teen_signal_no_match",pass,"",""
"teen[5]:teen_signal_no_match_contentSignature","teen[5]:teen_signal_no_match",pass,"",""
"teen[6]:teen_signal_multiword_name","teen[6]:teen_signal_multiword",pass,"",""
"teen[6]:teen_signal_multiword_candidateTitle","teen[6]:teen_signal_multiword",pass,"",""
"teen[6]:teen_signal_multiword_likedSignals","teen[6]:teen_signal_multiword",pass,"",""
"teen[6]:teen_signal_multiword_score","teen[6]:teen_signal_multiword",pass,"",""
"teen[6]:teen_signal_multiword_perTitleSignalFields","teen[6]:teen_signal_multiword",pass,"",""
"teen[6]:teen_signal_multiword_signalFieldsByTitle","teen[6]:teen_signal_multiword",pass,"",""
"teen[6]:teen_signal_multiword_contentSignature","teen[6]:teen_signal_multiword",pass,"",""
